0,240,43,94,45.7,8,26,30.8,25,34,73.5,13,41,54,16,7,2,19,30
1,240,35,74,47.3,9,17,52.9,35,42,83.3,7,26,33,32,13,1,11,22
1,239,39,83,47.0,3,7,42.9,9,15,60.0,13,36,49,23,7,7,16,22
0,240,33,89,37.1,5,15,33.3,17,19,89.5,16,25,41,14,12,3,16,22
1,240,34,72,47.2,3,13,23.1,26,34,76.5,13,33,46,20,6,8,13,27
0,235,27,61,44.3,7,13,53.8,34,47,72.3,7,24,31,15,2,1,12,18
1,241,46,82,56.1,8,15,53.3,8,11,72.7,10,36,46,30,4,10,19,16
0,239,37,90,41.1,2,21,9.5,16,17,94.1,15,38,53,14,7,2,12,15
1,239,36,85,42.4,7,25,28.0,27,34,79.4,12,31,43,17,16,6,10,23
1,241,39,74,52.7,4,11,36.4,14,20,70.0,5,32,37,28,6,8,9,16
1,241,33,66,50.0,5,8,62.5,25,29,86.2,8,25,33,17,10,4,13,18
0,241,33,77,42.9,9,29,31.0,23,31,74.2,8,32,40,19,10,8,20,25
1,267,38,93,40.9,5,14,35.7,11,18,61.1,15,39,54,22,11,4,12,19
1,240,32,73,43.8,7,17,41.2,19,20,95.0,7,27,34,23,9,9,13,21
0,239,36,92,39.1,7,39,17.9,16,23,69.6,15,39,54,18,10,3,18,21
1,240,39,89,43.8,2,15,13.3,19,25,76.0,18,38,56,23,5,7,9,21
0,240,34,79,43.0,5,12,41.7,8,12,66.7,10,27,37,24,8,8,15,19
0,240,40,84,47.6,9,25,36.0,8,9,88.9,3,34,37,25,4,4,13,21
1,242,45,99,45.5,8,22,36.4,20,21,95.2,19,31,50,27,9,4,13,26
1,239,36,68,52.9,14,29,48.3,34,43,79.1,4,43,47,24,5,12,20,26
1,265,42,88,47.7,9,19,47.4,30,43,69.8,17,38,55,18,7,5,14,28
0,241,30,75,40.0,12,29,41.4,19,25,76.0,15,29,44,17,9,4,15,20
1,240,35,80,43.8,0,10,0.0,19,25,76.0,13,28,41,16,16,7,14,12
0,240,35,78,44.9,8,18,44.4,8,11,72.7,6,26,32,23,8,10,13,16
0,240,29,86,33.7,1,14,7.1,16,19,84.2,13,35,48,19,13,4,8,18
1,239,34,86,39.5,13,33,39.4,12,19,63.2,15,40,55,25,6,7,11,21
